Well,Cell_ID,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21,Frame22,Frame23,Frame24,Frame25,Frame26,Frame27,Frame28,Frame29,Frame30,Frame31,Frame32,Frame33,Frame34,Frame35,Frame36,Frame37,Frame38,Frame39,Frame40,Frame41,Frame42,Frame43,Frame44,Frame45,Frame46,Frame47,Frame48,Frame49,Frame50,Frame51,Frame52,Frame53,Frame54,Frame55,Frame56,Frame57,Frame58,Frame59,Frame60
B2,B2_1,9908.495226,7802.249523,6938.034373,6769.196053,8993.245067,9810.37874,7746.388924,6745.744749,6517.414386,6526.058561,9006.685551,9578.167409,7534.256525,6630.267982,6321.680458,6470.298536,9318.616805,8775.828135,7007.012731,6457.547422,6382.134946,8011.65818,9463.40802,7683.893062,6610.601528,6300.562699,6325.422661,8722.9669,9112.151496,7119.29599,6329.548059,6161.578612,6308.068109,8992.774029,8563.598982,6816.241884,6214.761935,6161.269892,8318.680458,9216.984087,7344.797581,6364.084659,6024.036919,6058.122215,8502.577976,9011.243794,7065.541693,6264.194144,6053.103119,7666.915977,9056.643539,7318.481859,6289.493953,6000.516232,5970.44494,6421.402292,8955.816677,7421.860598,6290.00191,5955.936983
B2,B2_2,6938.034373,6769.196053,8993.245067,9810.37874,7746.388924,6745.744749,6517.414386,6526.058561,9006.685551,9578.167409,7534.256525,6630.267982,6321.680458,6470.298536,9318.616805,8775.828135,7007.012731,6457.547422,6382.134946,8011.65818,9463.40802,7683.893062,6610.601528,6300.562699,6325.422661,8722.9669,9112.151496,7119.29599,6329.548059,6161.578612,6308.068109,8992.774029,8563.598982,6816.241884,6214.761935,6161.269892,8318.680458,9216.984087,7344.797581,6364.084659,6024.036919,6058.122215,8502.577976,9011.243794,7065.541693,6264.194144,6053.103119,7666.915977,9056.643539,7318.481859,6289.493953,6000.516232,5970.44494,6421.402292,8955.816677,7421.860598,6290.00191,5955.936983,6450.514706,6456.528493
B2,B2_3,8993.245067,9810.37874,7746.388924,6745.744749,6517.414386,6526.058561,9006.685551,9578.167409,7534.256525,6630.267982,6321.680458,6470.298536,9318.616805,8775.828135,7007.012731,6457.547422,6382.134946,8011.65818,9463.40802,7683.893062,6610.601528,6300.562699,6325.422661,8722.9669,9112.151496,7119.29599,6329.548059,6161.578612,6308.068109,8992.774029,8563.598982,6816.241884,6214.761935,6161.269892,8318.680458,9216.984087,7344.797581,6364.084659,6024.036919,6058.122215,8502.577976,9011.243794,7065.541693,6264.194144,6053.103119,7666.915977,9056.643539,7318.481859,6289.493953,6000.516232,5970.44494,6421.402292,8955.816677,7421.860598,6290.00191,5955.936983,6450.514706,6456.528493,6402.844669,6302.591912
B2,B2_4,7746.388924,6745.744749,6517.414386,6526.058561,9006.685551,9578.167409,7534.256525,6630.267982,6321.680458,6470.298536,9318.616805,8775.828135,7007.012731,6457.547422,6382.134946,8011.65818,9463.40802,7683.893062,6610.601528,6300.562699,6325.422661,8722.9669,9112.151496,7119.29599,6329.548059,6161.578612,6308.068109,8992.774029,8563.598982,6816.241884,6214.761935,6161.269892,8318.680458,9216.984087,7344.797581,6364.084659,6024.036919,6058.122215,8502.577976,9011.243794,7065.541693,6264.194144,6053.103119,7666.915977,9056.643539,7318.481859,6289.493953,6000.516232,5970.44494,6421.402292,8955.816677,7421.860598,6290.00191,5955.936983,6450.514706,6456.528493,6402.844669,6302.591912,6385.151654,10857.36857
B2,B2_5,6517.414386,6526.058561,9006.685551,9578.167409,7534.256525,6630.267982,6321.680458,6470.298536,9318.616805,8775.828135,7007.012731,6457.547422,6382.134946,8011.65818,9463.40802,7683.893062,6610.601528,6300.562699,6325.422661,8722.9669,9112.151496,7119.29599,6329.548059,6161.578612,6308.068109,8992.774029,8563.598982,6816.241884,6214.761935,6161.269892,8318.680458,9216.984087,7344.797581,6364.084659,6024.036919,6058.122215,8502.577976,9011.243794,7065.541693,6264.194144,6053.103119,7666.915977,9056.643539,7318.481859,6289.493953,6000.516232,5970.44494,6421.402292,8955.816677,7421.860598,6290.00191,5955.936983,6450.514706,6456.528493,6402.844669,6302.591912,6385.151654,10857.36857,10278.95037,9032.914522
B2,B2_6,9006.685551,9578.167409,7534.256525,6630.267982,6321.680458,6470.298536,9318.616805,8775.828135,7007.012731,6457.547422,6382.134946,8011.65818,9463.40802,7683.893062,6610.601528,6300.562699,6325.422661,8722.9669,9112.151496,7119.29599,6329.548059,6161.578612,6308.068109,8992.774029,8563.598982,6816.241884,6214.761935,6161.269892,8318.680458,9216.984087,7344.797581,6364.084659,6024.036919,6058.122215,8502.577976,9011.243794,7065.541693,6264.194144,6053.103119,7666.915977,9056.643539,7318.481859,6289.493953,6000.516232,5970.44494,6421.402292,8955.816677,7421.860598,6290.00191,5955.936983,6450.514706,6456.528493,6402.844669,6302.591912,6385.151654,10857.36857,10278.95037,9032.914522,8126.602941,7520.522059
B2,B2_7,7534.256525,6630.267982,6321.680458,6470.298536,9318.616805,8775.828135,7007.012731,6457.547422,6382.134946,8011.65818,9463.40802,7683.893062,6610.601528,6300.562699,6325.422661,8722.9669,9112.151496,7119.29599,6329.548059,6161.578612,6308.068109,8992.774029,8563.598982,6816.241884,6214.761935,6161.269892,8318.680458,9216.984087,7344.797581,6364.084659,6024.036919,6058.122215,8502.577976,9011.243794,7065.541693,6264.194144,6053.103119,7666.915977,9056.643539,7318.481859,6289.493953,6000.516232,5970.44494,6421.402292,8955.816677,7421.860598,6290.00191,5955.936983,6450.514706,6456.528493,6402.844669,6302.591912,6385.151654,10857.36857,10278.95037,9032.914522,8126.602941,7520.522059,7109.284926,6775.46875
B2,B2_8,6321.680458,6470.298536,9318.616805,8775.828135,7007.012731,6457.547422,6382.134946,8011.65818,9463.40802,7683.893062,6610.601528,6300.562699,6325.422661,8722.9669,9112.151496,7119.29599,6329.548059,6161.578612,6308.068109,8992.774029,8563.598982,6816.241884,6214.761935,6161.269892,8318.680458,9216.984087,7344.797581,6364.084659,6024.036919,6058.122215,8502.577976,9011.243794,7065.541693,6264.194144,6053.103119,7666.915977,9056.643539,7318.481859,6289.493953,6000.516232,5970.44494,6421.402292,8955.816677,7421.860598,6290.00191,5955.936983,6450.514706,6456.528493,6402.844669,6302.591912,6385.151654,10857.36857,10278.95037,9032.914522,8126.602941,7520.522059,7109.284926,6775.46875,6492.707721,6306.350184
B2,B2_9,9318.616805,8775.828135,7007.012731,6457.547422,6382.134946,8011.65818,9463.40802,7683.893062,6610.601528,6300.562699,6325.422661,8722.9669,9112.151496,7119.29599,6329.548059,6161.578612,6308.068109,8992.774029,8563.598982,6816.241884,6214.761935,6161.269892,8318.680458,9216.984087,7344.797581,6364.084659,6024.036919,6058.122215,8502.577976,9011.243794,7065.541693,6264.194144,6053.103119,7666.915977,9056.643539,7318.481859,6289.493953,6000.516232,5970.44494,6421.402292,8955.816677,7421.860598,6290.00191,5955.936983,6450.514706,6456.528493,6402.844669,6302.591912,6385.151654,10857.36857,10278.95037,9032.914522,8126.602941,7520.522059,7109.284926,6775.46875,6492.707721,6306.350184,6211.061581,6151.102941
B2,B2_10,7007.012731,6457.547422,6382.134946,8011.65818,9463.40802,7683.893062,6610.601528,6300.562699,6325.422661,8722.9669,9112.151496,7119.29599,6329.548059,6161.578612,6308.068109,8992.774029,8563.598982,6816.241884,6214.761935,6161.269892,8318.680458,9216.984087,7344.797581,6364.084659,6024.036919,6058.122215,8502.577976,9011.243794,7065.541693,6264.194144,6053.103119,7666.915977,9056.643539,7318.481859,6289.493953,6000.516232,5970.44494,6421.402292,8955.816677,7421.860598,6290.00191,5955.936983,6450.514706,6456.528493,6402.844669,6302.591912,6385.151654,10857.36857,10278.95037,9032.914522,8126.602941,7520.522059,7109.284926,6775.46875,6492.707721,6306.350184,6211.061581,6151.102941,6131.829044,6091.315257
